Config,Fold,N_Seeds,Return_median,Return_std,Sharpe_median,Sharpe_std,MDD_median,Alpha_median
EODHD_Full,OOS-2024,3,33.16,7.42,1.144,0.219,14.21,-1.16
EODHD_Full,OOS-2025,3,18.25,2.72,1.158,0.184,15.12,-0.11
EODHD_NoAttn,OOS-2024,3,32.02,0.82,1.079,0.049,14.88,-2.3
EODHD_NoAttn,OOS-2025,3,18.87,0.71,1.208,0.081,16.05,0.51
HKUST_Full,OOS-2024,3,38.9,7.91,1.148,0.229,16.82,4.59
HKUST_Full,OOS-2025,3,17.95,2.32,1.147,0.102,14.47,-0.42
HKUST_NoAttn,OOS-2024,3,51.05,11.76,1.382,0.11,13.41,16.73
HKUST_NoAttn,OOS-2025,3,26.07,5.21,1.411,0.286,14.22,7.71
NONE_NoSent,OOS-2024,3,41.56,5.25,1.145,0.216,15.14,7.24
NONE_NoSent,OOS-2025,3,20.83,7.87,1.288,0.354,14.4,2.47
NONE_Vanilla,OOS-2024,3,22.56,7.88,0.731,0.117,17.77,-11.76
NONE_Vanilla,OOS-2025,3,18.48,3.0,1.153,0.181,14.79,0.12
